Location	                                                      | Action  | Object
https://www.google.com – Search bar                               | Enter   | metamask
https://www.google.com/search?q=metamask                          | Click   | MetaMask  
https://metamask.io                                               | Click | get chrome extension
https://chrome.google.com/webstore/...                            | Click | Add to Chrome
Popup Add “MetaMask”?	                                            | Click | Add extension
chrome-extension://nkbi../home.html#initialize/welcome            | Click | Get Started
chrome-extension://nkbi…/home.html#initialize/select-action       | Click | Create a wallet
chrome-extension://nkbi…/home.html#initialize/metametrics-opt-in  | Click | I agree
Start menu	                                                      | Start | {password manager}
Password manager	                                                | Do    | Create random password
Password manager	                                                | Copy  | Password
chrome-extension:…    field: New password                         | Paste | {password}
chrome-extension:…    field: Confirm password                     | Paste | {password}
chrome-extension:…    checkbox: I have read …                     | Click | {checkbox}
chrome-extension://nkbi…/home.html#initialize/seed-phrase         | Click | Click here to reveal…
{ paper}                                                          | Write | {seed phrase}
                                                                  | Click | Next
chrome-extension://nkbi…/home.html#initialize/seed-phrase/confirm | Click | { All the words}
                                                                  | Click | Confirm
chrome-extension://nkbi…/home.html#initialize/end-of-flow         | Click | All Done
chrome-extension://nkbi…/home.html#                               | Close | {windows}
